,index,id,img,label,text
0,0,42953,img/42953.png,0.0,its their character not their color that matters
1,2,13894,img/13894.png,0.0,putting bows on your pet
2,4,82403,img/82403.png,0.0,"everybody loves chocolate chip cookies, even hitler"
3,5,16952,img/16952.png,0.0,go sports! do the thing! win the points!
4,6,76932,img/76932.png,0.0,fine you're right. now can we fucking drop it?
5,7,70914,img/70914.png,1.0,tattoos are bad for your health i know 5 million people that had tattoos and they all died
6,8,2973,img/02973.png,0.0,how long can i run? till the chain tightens
7,9,58306,img/58306.png,0.0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored"
8,10,79351,img/79351.png,1.0,jew mad? get fuhrerious!
9,11,34096,img/34096.png,0.0,"removes polish with chemicals, nobody bats an eye"
10,13,19324,img/19324.png,0.0,when you're the only dog left at the dog shelter and the black family wants to adopt you
11,14,79346,img/79346.png,0.0,voting for hillary is like letting casey anthony watch your kids because she's not guilty
12,15,13426,img/13426.png,0.0,they will soon be free
13,18,28936,img/28936.png,0.0,when you find out there's an opening for the role of first lady
14,19,59784,img/59784.png,0.0,if people reject me because i stand on the truth then i have no problem walking alone
15,20,2146,img/02146.png,0.0,from the bottom of my heart i would like to sincerely apologize..... for being white
16,21,70146,img/70146.png,0.0,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border"
17,22,28061,img/28061.png,0.0,just because they do this dosen't mean they'll do this
18,23,97180,img/97180.png,1.0,if there is no race it can't be homicide
19,24,49752,img/49752.png,0.0,here's to all my friends who never post about politics or religion
20,25,25610,img/25610.png,0.0,enjoying a day at the beach
21,26,15872,img/15872.png,1.0,when you come home from a long day of suicide bombinb and your wife gives you this look
22,27,72640,img/72640.png,0.0,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will."
23,29,17956,img/17956.png,0.0,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell
24,30,93547,img/93547.png,1.0,d.j. osama spin laden droppin' beats like the twin towers
25,31,10743,img/10743.png,0.0,move to new york they said it'll be fun they said
26,32,37091,img/37091.png,0.0,my sandwich-maker is very slow today
27,34,76825,img/76825.png,0.0,two woman walking home together after a nice day out together
28,37,51846,img/51846.png,0.0,doesn't wear tampons because she trips over the string
29,39,95812,img/95812.png,0.0,happy shot in the face day 5-2-2011
30,41,53976,img/53976.png,0.0,black power comes with a lot of responsibility
31,42,70193,img/70193.png,0.0,that chiken is so black no one is going to eat it
32,43,60427,img/60427.png,0.0,i hope both teams lose
33,44,78395,img/78395.png,0.0,say the damn pronouns
34,45,4876,img/04876.png,0.0,goin
35,46,92075,img/92075.png,0.0,we need problem solvers not racist and religious bigots in office
36,47,86354,img/86354.png,0.0,officer down
37,48,74386,img/74386.png,1.0,we said we would never forget why are you voting them into our government?
38,49,59613,img/59613.png,1.0,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention
39,50,10263,img/10263.png,0.0,"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism"""
40,52,52610,img/52610.png,1.0,i'm sick of politics so here's a pic of michelle obama riding a unicorn
41,53,58371,img/58371.png,0.0,when you suck at photoshop
42,54,27401,img/27401.png,0.0,for the last time.. i'm not michelle obama
43,55,89574,img/89574.png,0.0,i'm cute
44,56,25473,img/25473.png,0.0,and then i told them you're going on a fun camping trip
45,57,47913,img/47913.png,0.0,"the jussie smollett case explained. ""how do you plead? "" ""innocent!!!"" ""black, gay, trump hater, friend of michelle obama"
46,58,8295,img/08295.png,0.0,please consider donating water to children in need
